Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
"Total;Total Nacional;Todas las edades;2041;"""""
"Total;Total Nacional;Todas las edades;2040;"""""
Total;Total Nacional;Todas las edades;2039;53.747.904,894293
Total;Total Nacional;Todas las edades;2038;53.597.525,129538
Total;Total Nacional;Todas las edades;2037;53.442.607,602498
Total;Total Nacional;Todas las edades;2036;53.281.138,523991
Total;Total Nacional;Todas las edades;2035;53.109.717,711908
Total;Total Nacional;Todas las edades;2034;52.923.576,384872
Total;Total Nacional;Todas las edades;2033;52.716.064,315197
Total;Total Nacional;Todas las edades;2032;52.478.912,999872
Total;Total Nacional;Todas las edades;2031;52.202.438,723784
Total;Total Nacional;Todas las edades;2030;51.876.063,854919
Total;Total Nacional;Todas las edades;2029;51.489.372,571964
Total;Total Nacional;Todas las edades;2028;51.033.947,885234
Total;Total Nacional;Todas las edades;2027;50.506.066,277745
Total;Total Nacional;Todas las edades;2026;49.910.256,365085
Total;Total Nacional;Todas las edades;2025;49.265.049,133149
Total;Total Nacional;Todas las edades;2024;48.610.458
"Total;Total Nacional;0 años;2041;"""""
"Total;Total Nacional;0 años;2040;"""""
Total;Total Nacional;0 años;2039;403.928,585671
Total;Total Nacional;0 años;2038;399.294,530145
Total;Total Nacional;0 años;2037;394.306,025051
Total;Total Nacional;0 años;2036;389.126,125556
Total;Total Nacional;0 años;2035;383.913,180849
Total;Total Nacional;0 años;2034;378.770,089163
Total;Total Nacional;0 años;2033;373.697,10388
Total;Total Nacional;0 años;2032;368.643,818959
Total;Total Nacional;0 años;2031;363.524,233313
Total;Total Nacional;0 años;2030;358.204,562397
Total;Total Nacional;0 años;2029;352.557,847884
Total;Total Nacional;0 años;2028;346.500,388819
Total;Total Nacional;0 años;2027;340.035,492713
Total;Total Nacional;0 años;2026;333.335,95581
Total;Total Nacional;0 años;2025;326.808,003036
Total;Total Nacional;0 años;2024;322.602
"Total;Total Nacional;1 año;2041;"""""
"Total;Total Nacional;1 año;2040;"""""
Total;Total Nacional;1 año;2039;403.107,707471
Total;Total Nacional;1 año;2038;398.172,256791
Total;Total Nacional;1 año;2037;393.071,090534
Total;Total Nacional;1 año;2036;387.972,515981
Total;Total Nacional;1 año;2035;382.991,04763
Total;Total Nacional;1 año;2034;378.139,785458
Total;Total Nacional;1 año;2033;373.380,786279
Total;Total Nacional;1 año;2032;368.637,968333
Total;Total Nacional;1 año;2031;363.782,549158
Total;Total Nacional;1 año;2030;358.683,658614
Total;Total Nacional;1 año;2029;353.239,925588
Total;Total Nacional;1 año;2028;347.417,081828
Total;Total Nacional;1 año;2027;341.322,751953
Total;Total Nacional;1 año;2026;335.262,09445
Total;Total Nacional;1 año;2025;331.289,749319
Total;Total Nacional;1 año;2024;329.790
"Total;Total Nacional;2 años;2041;"""""
"Total;Total Nacional;2 años;2040;"""""
Total;Total Nacional;2 años;2039;402.077,70566
Total;Total Nacional;2 años;2038;397.029,948101
Total;Total Nacional;2 años;2037;392.008,937283
Total;Total Nacional;2 años;2036;387.139,425117
Total;Total Nacional;2 años;2035;382.446,676136
Total;Total Nacional;2 años;2034;377.905,80358
Total;Total Nacional;2 años;2033;373.453,318989
Total;Total Nacional;2 años;2032;368.970,631583
Total;Total Nacional;2 años;2031;364.331,852454
Total;Total Nacional;2 años;2030;359.431,493663
Total;Total Nacional;2 años;2029;354.217,136219
Total;Total Nacional;2 años;2028;348.757,704375
Total;Total Nacional;2 años;2027;343.291,456928
Total;Total Nacional;2 años;2026;339.819,532081
Total;Total Nacional;2 años;2025;338.614,91293
Total;Total Nacional;2 años;2024;350.541
"Total;Total Nacional;3 años;2041;"""""
"Total;Total Nacional;3 años;2040;"""""
Total;Total Nacional;3 años;2039;400.851,214809
Total;Total Nacional;3 años;2038;395.881,285051
Total;Total Nacional;3 años;2037;391.084,543094
Total;Total Nacional;3 años;2036;386.496,695068
Total;Total Nacional;3 años;2035;382.104,923568
Total;Total Nacional;3 años;2034;377.858,697576
Total;Total Nacional;3 años;2033;373.652,178682
Total;Total Nacional;3 años;2032;369.369,764214
Total;Total Nacional;3 años;2031;364.911,189766
Total;Total Nacional;3 años;2030;360.220,362728
Total;Total Nacional;3 años;2029;355.348,506208
Total;Total Nacional;3 años;2028;350.495,856008
Total;Total Nacional;3 años;2027;347.652,535274
Total;Total Nacional;3 años;2026;347.021,443603
Total;Total Nacional;3 años;2025;358.754,155427
Total;Total Nacional;3 años;2024;356.878
"Total;Total Nacional;4 años;2041;"""""
"Total;Total Nacional;4 años;2040;"""""
Total;Total Nacional;4 años;2039;399.760,761689
Total;Total Nacional;4 años;2038;395.008,513946
Total;Total Nacional;4 años;2037;390.485,566342
Total;Total Nacional;4 años;2036;386.189,635922
Total;Total Nacional;4 años;2035;382.082,303196
Total;Total Nacional;4 años;2034;378.070,906741
Total;Total Nacional;4 años;2033;374.052,664742
Total;Total Nacional;4 años;2032;369.937,75765
